condition_id,difficulty_pmse,difficulty_pmse_std,n_models,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling
0,0.23391997767114445,0.10262814177684071,8,256,0.5,20,10,5,64,head,False,False,True,gelu,True,0.03,0.5,uniform
1,0.6794866809627984,0.04292315649954648,8,256,0.7,10,10,5,64,roots,True,False,True,gelu,False,0.03,0.5,normal
2,0.3399244345552838,0.04272744307977467,8,512,0.5,10,10,5,16,causal,True,False,True,gelu,False,0.005,1.2,normal
3,0.046499736765422295,0.045509349483657015,8,512,0.5,20,20,5,16,head,True,True,False,gelu,True,0.005,1.2,normal
4,0.6963911985565809,0.05047550625418029,8,256,0.5,10,20,5,64,head,True,True,False,tanh,True,0.005,1.2,normal
5,0.7454185191370525,0.028837433446963982,8,512,0.7,10,20,2,64,head,True,False,False,relu,False,0.005,1.2,normal
6,0.4114691143799818,0.06919513819141042,8,256,0.5,10,10,5,64,head,False,False,False,relu,False,0.03,1.2,normal
7,0.09339643123409797,0.08328338192316986,8,256,0.5,20,20,5,16,head,False,True,False,relu,True,0.03,1.2,uniform
8,0.7334071908713177,0.052161957207434065,8,512,0.5,10,20,5,64,causal,False,False,False,tanh,True,0.005,1.2,normal
9,0.30902675876257196,0.09742010909332399,8,512,0.7,20,20,5,64,causal,True,False,True,relu,True,0.005,0.5,uniform
10,0.3893398580564831,0.04813426609435701,8,512,0.7,10,20,5,64,causal,True,True,False,relu,True,0.005,0.5,uniform
11,0.5127089092412311,0.07988227113280841,8,256,0.7,20,20,5,64,causal,True,True,False,gelu,False,0.03,1.2,normal
12,0.14418817497879868,0.05712174612873554,8,512,0.7,10,10,2,64,roots,False,False,True,relu,True,0.005,0.5,uniform
13,0.5914578904578841,0.08676380978928651,8,256,0.7,20,20,2,64,causal,False,False,True,tanh,False,0.03,1.2,normal
14,0.2618397418502305,0.12133064276063985,8,512,0.5,20,20,2,64,head,True,False,True,gelu,False,0.005,0.5,uniform
15,0.4886961073525438,0.03495342566171393,8,512,0.7,10,10,2,64,head,False,False,True,gelu,False,0.03,1.2,normal
