seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
256,0.5,10,10,2,16,head,True,False,True,relu,False,0.03,1.2,normal,0.28222052022712707
256,0.5,10,10,2,16,roots,False,True,False,tanh,False,0.03,1.2,normal,0.34570701988996694
256,0.5,10,10,2,64,head,True,True,False,tanh,True,0.005,0.5,normal,0.5115232148159367
256,0.5,10,10,2,64,roots,True,False,True,relu,True,0.03,0.5,uniform,0.2103989028651218
256,0.5,10,10,5,16,causal,False,True,True,gelu,True,0.005,0.5,normal,0.27555193754697616
256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,normal,0.11152512037190783
256,0.5,10,10,5,16,head,True,False,False,tanh,True,0.03,0.5,uniform,0.11292813151694474
256,0.5,10,10,5,16,head,True,False,True,relu,True,0.005,0.5,uniform,0.11147530901008758
256,0.5,10,10,5,64,causal,False,False,False,relu,True,0.03,0.5,uniform,0.5566015676183353
256,0.5,10,10,5,64,head,False,False,False,relu,False,0.03,1.2,normal,0.4114691143799818
256,0.5,10,10,5,64,head,False,False,True,relu,True,0.03,0.5,normal,0.48263153481631565
256,0.5,10,10,5,64,roots,False,False,False,tanh,True,0.005,0.5,normal,0.8949861612188443
256,0.5,10,10,5,64,roots,False,False,True,relu,True,0.03,1.2,normal,0.6154646656297006
256,0.5,10,20,2,64,causal,False,True,True,relu,False,0.03,1.2,uniform,0.7952530085061035
256,0.5,10,20,2,64,causal,True,True,False,gelu,True,0.005,1.2,uniform,0.593184125467705
256,0.5,10,20,2,64,causal,True,True,False,relu,False,0.03,0.5,normal,0.7913706284149931
256,0.5,10,20,5,16,causal,True,True,True,gelu,True,0.005,0.5,uniform,0.08494127031538609
256,0.5,10,20,5,16,head,True,True,True,gelu,False,0.005,0.5,normal,0.14041813726640773
256,0.5,10,20,5,16,head,True,True,True,relu,False,0.03,1.2,normal,0.11828955393490888
256,0.5,10,20,5,64,head,True,True,False,tanh,True,0.005,1.2,normal,0.6963911985565809
256,0.5,20,10,2,16,causal,True,True,True,tanh,True,0.005,0.5,uniform,0.1399349790472777
256,0.5,20,10,2,16,head,False,False,True,tanh,False,0.03,0.5,normal,0.10515104695301944
256,0.5,20,10,2,16,head,True,False,True,gelu,True,0.03,0.5,uniform,0.09769439814976096
256,0.5,20,10,2,16,head,True,True,False,gelu,True,0.005,0.5,uniform,0.10385052042977823
256,0.5,20,10,2,64,causal,False,False,True,gelu,False,0.005,1.2,normal,0.38750809618534177
256,0.5,20,10,2,64,causal,False,True,False,gelu,False,0.005,0.5,uniform,0.23376317216827636
