condition_id,model,pmse_mean,pmse_std,n
0,elastic_net,0.0022539005149155855,,1
0,extra_trees,0.14303231408837971,,1
0,gbrt,0.12743480796099238,,1
0,hist_gbrt,0.1330736920017926,,1
0,knn,0.22352199871308467,,1
0,lasso,0.002997865667566657,,1
0,rf,0.16820884936140296,,1
0,ridge,0.003553775604814291,,1
1,elastic_net,0.6149277091026306,,1
1,extra_trees,0.6944090665861764,,1
1,gbrt,0.7388679895044996,,1
1,hist_gbrt,0.6903944113585204,,1
1,knn,0.7097515440235497,,1
1,lasso,0.6154037117958069,,1
1,rf,0.6772079681417399,,1
1,ridge,0.6148183941841125,,1
2,elastic_net,0.4395277202129364,,1
2,extra_trees,0.46168768488062545,,1
2,gbrt,0.4024965534857331,,1
2,hist_gbrt,0.40518550146477555,,1
2,knn,0.5119922367691441,,1
2,lasso,0.4394223093986511,,1
2,rf,0.4609039443258175,,1
2,ridge,0.4394049346446991,,1
3,elastic_net,0.5205262899398804,,1
3,extra_trees,0.637584022445087,,1
3,gbrt,0.7596889252965932,,1
3,hist_gbrt,0.6571635982156643,,1
3,knn,0.6194212953083119,,1
3,lasso,0.5203287601470947,,1
3,rf,0.6872732510238533,,1
3,ridge,0.5200331807136536,,1
4,elastic_net,0.14144304394721985,,1
4,extra_trees,0.2391762533377817,,1
4,gbrt,0.2029368002448924,,1
4,hist_gbrt,0.22296647418431,,1
4,knn,0.25013197229038153,,1
4,lasso,0.14125850796699524,,1
4,rf,0.26729324999853676,,1
4,ridge,0.1410025954246521,,1
5,elastic_net,0.24610313773155212,,1
5,extra_trees,0.5924715770032876,,1
5,gbrt,0.6620219907722359,,1
5,hist_gbrt,0.389483860112367,,1
5,knn,0.6147742595799246,,1
5,lasso,0.24625633656978607,,1
5,rf,0.665856752117175,,1
5,ridge,0.24579915404319763,,1
6,elastic_net,0.038681019097566605,,1
6,extra_trees,0.33462288085351877,,1
6,gbrt,0.2643945179488979,,1
6,hist_gbrt,0.24468332265262605,,1
6,knn,0.42446030683972646,,1
6,lasso,0.038777150213718414,,1
6,rf,0.3777827925742445,,1
6,ridge,0.04018967226147652,,1
7,elastic_net,0.07920707017183304,,1
7,extra_trees,0.16489489775136412,,1
7,gbrt,0.18586169558047308,,1
7,hist_gbrt,0.16719152709323157,,1
7,knn,0.21554819980416579,,1
7,lasso,0.07881253957748413,,1
7,rf,0.20586289292937843,,1
7,ridge,0.07958266139030457,,1
8,elastic_net,0.5453404784202576,,1
8,extra_trees,0.5332805458876634,,1
8,gbrt,0.6908409103448828,,1
8,hist_gbrt,0.6870962090364103,,1
8,knn,0.6224536974644552,,1
8,lasso,0.5449673533439636,,1
8,rf,0.545093130965458,,1
8,ridge,0.5422883033752441,,1
9,elastic_net,0.3270232081413269,,1
9,extra_trees,0.4255022779324431,,1
9,gbrt,0.45520429914890237,,1
9,hist_gbrt,0.44789430269342234,,1
9,knn,0.48797787252091707,,1
9,lasso,0.32666561007499695,,1
9,rf,0.45091873909668406,,1
9,ridge,0.3224467635154724,,1
10,elastic_net,0.48556527495384216,,1
10,extra_trees,0.47894707547727156,,1
10,gbrt,0.5629603569748869,,1
10,hist_gbrt,0.5161951094298172,,1
10,knn,0.5467132782713174,,1
10,lasso,0.48589199781417847,,1
10,rf,0.5514927096458667,,1
10,ridge,0.4878155589103699,,1
11,elastic_net,0.31942564249038696,,1
11,extra_trees,0.4672908114199419,,1
11,gbrt,0.4370588519602252,,1
11,hist_gbrt,0.3807154750492336,,1
11,knn,0.53354394700999,,1
11,lasso,0.31963399052619934,,1
11,rf,0.5022183927632432,,1
11,ridge,0.3198404312133789,,1
12,elastic_net,0.6411796808242798,,1
12,extra_trees,0.8265989236533547,,1
12,gbrt,0.7986560231161756,,1
12,hist_gbrt,0.783186095609637,,1
12,knn,0.8609681287307157,,1
12,lasso,0.6414421200752258,,1
12,rf,0.8286350888690757,,1
12,ridge,0.6415348052978516,,1
13,elastic_net,0.02016500197350979,,1
13,extra_trees,0.13703312656268307,,1
13,gbrt,0.12484561535622454,,1
13,hist_gbrt,0.19111624624462412,,1
13,knn,0.22688037008548068,,1
13,lasso,0.019786635413765907,,1
13,rf,0.14168300803686107,,1
13,ridge,0.02932117134332657,,1
14,elastic_net,0.620637834072113,,1
14,extra_trees,0.5837325547605943,,1
14,gbrt,0.7444396411256107,,1
14,hist_gbrt,0.5701936475591479,,1
14,knn,0.5938609649663945,,1
14,lasso,0.6211707592010498,,1
14,rf,0.6291993095056578,,1
14,ridge,0.6203308701515198,,1
15,elastic_net,0.45950984954833984,,1
15,extra_trees,0.449955016368357,,1
15,gbrt,0.4501458796932561,,1
15,hist_gbrt,0.5078657867428862,,1
15,knn,0.5092713876449685,,1
15,lasso,0.45952293276786804,,1
15,rf,0.4418875183993108,,1
15,ridge,0.4583713412284851,,1
16,elastic_net,0.054392412304878235,,1
16,extra_trees,0.10902170976987746,,1
16,gbrt,0.1305312213410723,,1
16,hist_gbrt,0.12737564120767472,,1
16,knn,0.1392131574789042,,1
16,lasso,0.05424702540040016,,1
16,rf,0.16690476207344884,,1
16,ridge,0.053416140377521515,,1
17,elastic_net,0.03306034579873085,,1
17,extra_trees,0.12909245004425343,,1
17,gbrt,0.1372424247716909,,1
17,hist_gbrt,0.14776223017978704,,1
17,knn,0.2194055474270628,,1
17,lasso,0.0332840271294117,,1
17,rf,0.15593345306849887,,1
17,ridge,0.034418076276779175,,1
18,elastic_net,0.6453697681427002,,1
18,extra_trees,0.7417171622583231,,1
18,gbrt,0.7067817730914944,,1
18,hist_gbrt,0.6492436281378318,,1
18,knn,0.7550207466260324,,1
18,lasso,0.6458035707473755,,1
18,rf,0.8082064637667621,,1
18,ridge,0.6449536681175232,,1
19,elastic_net,0.2950521409511566,,1
19,extra_trees,0.26349689106373936,,1
19,gbrt,0.2528330613014398,,1
19,hist_gbrt,0.21532372911838069,,1
19,knn,0.42146941130587584,,1
19,lasso,0.2948816120624542,,1
19,rf,0.300595057449731,,1
19,ridge,0.2950109541416168,,1
20,elastic_net,0.0035073652397841215,,1
20,extra_trees,0.08008634889383373,,1
20,gbrt,0.07654351317061353,,1
20,hist_gbrt,0.08217731922810623,,1
20,knn,0.17642859226050073,,1
20,lasso,0.0045329430140554905,,1
20,rf,0.09921078904820477,,1
20,ridge,0.006471240893006325,,1
21,elastic_net,0.21830075979232788,,1
21,extra_trees,0.36625188298940453,,1
21,gbrt,0.31971693411262386,,1
21,hist_gbrt,0.3148869880901111,,1
21,knn,0.4180347237110588,,1
21,lasso,0.21786506474018097,,1
21,rf,0.39594990796373364,,1
21,ridge,0.21756044030189514,,1
22,elastic_net,0.3178299069404602,,1
22,extra_trees,0.581149513294217,,1
22,gbrt,0.5807742819519703,,1
