seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
256,0.5,10,10,5,16,head,True,False,False,relu,False,0.03,0.5,normal,0.11135389687705946
256,0.5,10,20,5,16,head,True,True,False,tanh,False,0.005,1.2,normal,0.11127481933702685
256,0.5,20,10,2,64,head,True,False,True,tanh,True,0.005,1.2,normal,0.4054541341405207
256,0.5,20,20,2,64,causal,True,False,False,tanh,False,0.03,1.2,uniform,0.5062701664226931
256,0.5,20,20,5,16,roots,True,False,True,relu,False,0.03,0.5,uniform,0.4578458834911907
256,0.5,20,20,5,64,roots,False,False,True,gelu,False,0.005,0.5,normal,0.7527751082720395
256,0.7,10,10,2,64,roots,True,True,True,relu,False,0.03,0.5,normal,0.4450776106477978
256,0.7,10,10,5,64,causal,True,True,False,tanh,False,0.03,1.2,uniform,0.4670662140491839
256,0.7,10,10,5,64,roots,True,False,False,gelu,True,0.005,1.2,normal,0.6152524153862673
256,0.7,10,20,5,64,causal,True,True,False,tanh,True,0.005,1.2,uniform,0.5889200786047919
256,0.7,20,10,2,64,head,True,True,False,tanh,False,0.03,0.5,normal,0.14712018553727935
256,0.7,20,20,2,64,causal,False,False,False,gelu,False,0.005,0.5,uniform,0.4099659428040749
512,0.5,10,20,2,64,head,False,False,False,relu,True,0.03,0.5,uniform,0.2007761121743462
512,0.5,20,10,2,64,causal,True,True,True,gelu,True,0.03,0.5,normal,0.308570837712667
512,0.5,20,10,2,64,head,True,True,False,relu,True,0.03,1.2,uniform,0.2204489578052219
512,0.5,20,10,5,16,causal,True,True,False,relu,False,0.03,1.2,uniform,0.06611976396851311
512,0.5,20,20,2,16,head,False,False,False,tanh,False,0.03,0.5,uniform,0.10050965048911861
512,0.7,10,10,2,16,causal,False,False,False,tanh,False,0.005,1.2,uniform,0.10438775874422218
512,0.7,10,10,2,64,roots,False,False,True,relu,True,0.03,0.5,normal,0.2923328571742993
512,0.7,10,10,5,16,roots,True,False,False,tanh,True,0.03,1.2,uniform,0.622945697667761
512,0.7,10,10,5,64,head,False,False,False,relu,True,0.005,0.5,uniform,0.5144476701846938
512,0.7,10,20,2,16,head,True,True,False,relu,False,0.03,0.5,uniform,0.14122533439465335
512,0.7,10,20,2,64,head,True,False,True,relu,True,0.03,1.2,normal,0.6694725993371295
512,0.7,20,20,5,16,roots,True,False,False,gelu,False,0.005,0.5,normal,0.6996370976110053
