condition_id,difficulty_pmse,difficulty_pmse_std,n_models,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling
0,0.3848979548765158,0.11272636927440298,8,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform
1,0.06641667698955496,0.03726876141502375,8,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform
2,0.5083247373572948,0.12435866833854314,8,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform
3,0.06489405515228022,0.04937196751785558,8,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform
4,0.201361388191659,0.0705519913260152,8,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform
5,0.43902122469944194,0.08848231063732967,8,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal
6,0.37622719150582273,0.1694831864416292,8,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform
7,0.4589867762092497,0.24583457301625877,8,256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal
8,0.22473866023685027,0.11630420765266727,8,256,0.5,20,10,2,64,causal,False,True,False,gelu,True,0.03,1.2,uniform
9,0.4147368246707786,0.028583830546270377,8,256,0.7,10,20,2,64,causal,False,True,True,gelu,True,0.005,1.2,uniform
10,0.312655707789876,0.06841828742840228,8,256,0.7,10,10,2,64,roots,True,True,True,tanh,False,0.005,0.5,normal
11,0.5769909717103945,0.08753130241566241,8,256,0.7,20,20,5,64,causal,False,False,True,gelu,False,0.03,0.5,normal
12,0.01800830350431528,0.017060374760896682,8,512,0.5,20,20,5,16,head,True,True,True,gelu,False,0.03,0.5,uniform
13,0.3320398744719545,0.06639930957840898,8,256,0.7,10,20,5,16,causal,True,False,True,tanh,True,0.03,1.2,uniform
14,0.10007341581787167,0.08386897951761015,8,256,0.7,20,10,5,16,head,False,False,True,tanh,False,0.005,0.5,normal
15,0.2882319228738591,0.07465329387414259,8,512,0.5,20,20,5,64,head,True,True,False,relu,True,0.03,1.2,uniform
16,0.8403568642102006,0.04829587719326049,8,512,0.5,20,20,5,64,roots,True,False,False,relu,True,0.03,1.2,normal
17,0.3847230420445871,0.14685102963419672,8,512,0.5,20,20,5,64,head,True,True,True,gelu,True,0.005,1.2,normal
18,0.9392301740663784,0.041144872379458554,8,512,0.5,10,20,5,64,causal,False,False,False,relu,False,0.03,0.5,normal
19,0.23077924284556345,0.10488540082409112,8,256,0.7,10,20,2,16,causal,False,True,False,relu,False,0.03,1.2,uniform
20,0.11613798929686243,0.0633365249584007,8,256,0.5,10,20,5,16,head,True,True,True,gelu,True,0.005,1.2,uniform
21,0.604129449071875,0.0975901006349719,8,256,0.5,20,20,5,16,roots,True,False,True,tanh,False,0.03,0.5,normal
22,0.40232994534214667,0.12848995754205406,8,256,0.7,20,10,5,16,causal,False,False,False,tanh,False,0.005,1.2,normal
23,0.21794944344299244,0.07494357065255108,8,256,0.7,10,10,5,64,head,False,True,True,relu,True,0.005,1.2,uniform
24,0.3387339883046061,0.08268422507189367,8,512,0.7,10,10,5,16,roots,True,False,True,tanh,False,0.03,0.5,uniform
25,0.3192424588953307,0.13805964508459503,8,512,0.5,20,20,2,64,roots,False,True,False,relu,True,0.005,0.5,uniform
26,0.1764056297993406,0.06908875184562935,8,512,0.7,10,20,2,16,causal,False,False,True,tanh,True,0.03,1.2,uniform
27,0.45278243493712184,0.05824697415242825,8,512,0.5,10,20,5,64,head,False,True,True,gelu,True,0.005,0.5,normal
28,0.17181792772332777,0.06596867111939199,8,256,0.5,10,10,2,16,head,True,False,True,relu,False,0.03,1.2,uniform
29,0.38303034377134965,0.13548615812655196,8,256,0.7,10,10,5,64,roots,True,False,False,relu,False,0.005,1.2,uniform
30,0.3851891727492948,0.14900068328299368,8,512,0.7,10,10,2,64,head,False,True,True,relu,True,0.005,0.5,uniform
31,0.14382834355111349,0.12477736504148677,8,512,0.5,20,10,2,16,causal,True,False,False,relu,True,0.005,1.2,uniform
32,0.3000425286693714,0.06413932155102803,8,512,0.7,10,10,2,16,causal,True,True,False,gelu,True,0.03,0.5,normal
33,0.6475283459771134,0.03540049354901126,8,512,0.5,10,10,5,64,causal,True,True,True,relu,True,0.03,0.5,normal
34,0.4321718777529675,0.06531576398013648,8,256,0.5,10,10,2,64,roots,True,False,True,gelu,False,0.005,0.5,normal
35,0.14539186005750487,0.10953180566588705,8,256,0.5,20,10,5,16,causal,False,True,True,relu,False,0.03,1.2,uniform
36,0.09959547953447422,0.0730066168056188,8,512,0.5,20,10,2,64,head,True,True,True,gelu,False,0.005,0.5,uniform
37,0.4558492461394311,0.07992400450869798,8,512,0.7,10,20,5,64,head,False,False,True,relu,False,0.005,1.2,uniform
38,0.21981131700824003,0.11692491617752786,8,512,0.5,10,10,2,64,roots,True,False,False,gelu,True,0.005,0.5,normal
39,0.12443789989754217,0.06466704184593686,8,512,0.7,10,10,5,16,causal,True,True,False,relu,True,0.005,0.5,normal
40,0.0246549213540572,0.019024807263382106,8,256,0.5,10,10,5,16,head,True,False,True,relu,True,0.03,0.5,uniform
41,0.2512818597468534,0.1974239632210138,8,256,0.7,20,20,2,16,causal,False,False,False,gelu,False,0.005,1.2,normal
42,0.43706288745030447,0.09596131061605133,8,512,0.5,10,20,5,64,causal,False,True,True,relu,False,0.03,0.5,uniform
43,0.24772226944230508,0.05126751142985676,8,256,0.5,20,10,5,64,causal,False,True,True,gelu,False,0.03,0.5,normal
44,0.1742223885885797,0.037729069255252705,8,256,0.7,10,10,5,16,causal,True,True,True,tanh,True,0.03,1.2,normal
45,0.43625953110489674,0.044947024100525285,8,256,0.7,10,10,2,64,head,False,True,True,gelu,True,0.005,1.2,uniform
46,0.09757976531294449,0.08895064805265586,8,256,0.5,20,10,2,16,head,True,False,False,tanh,True,0.005,1.2,normal
47,0.25941871688014867,0.147143118070941,8,256,0.5,20,10,5,16,causal,False,False,True,gelu,True,0.005,0.5,uniform
48,0.41358969623234965,0.07494540839164424,8,256,0.7,10,10,2,64,head,True,False,True,relu,False,0.005,1.2,normal
49,0.24367908055032644,0.07777858380022075,8,256,0.5,10,10,2,64,head,True,True,False,tanh,True,0.005,1.2,uniform
50,0.8480435084316087,0.05688281815145128,8,512,0.5,10,20,2,64,causal,True,False,True,tanh,True,0.005,0.5,normal
51,0.5055538880274218,0.07636140318293506,8,512,0.7,20,20,5,16,roots,True,False,True,tanh,True,0.005,0.5,uniform
52,0.3375635435442749,0.10752374132902866,8,256,0.5,20,20,5,64,roots,True,True,False,gelu,False,0.03,1.2,uniform
53,0.30652776004377785,0.05367797453463696,8,512,0.5,20,10,2,64,causal,True,False,False,gelu,True,0.03,1.2,normal
