seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,difficulty_pmse
256,0.5,10,10,2,16,head,True,False,True,relu,False,0.03,1.2,uniform,0.17181792772332777
256,0.5,10,10,2,64,head,True,True,False,tanh,True,0.005,1.2,uniform,0.24367908055032644
256,0.5,10,10,2,64,roots,True,False,True,gelu,False,0.005,0.5,normal,0.4321718777529675
256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,0.06489405515228022
256,0.5,10,10,5,16,head,True,False,False,relu,False,0.03,0.5,normal,0.09800834312520539
256,0.5,10,10,5,16,head,True,False,True,relu,True,0.03,0.5,uniform,0.0246549213540572
256,0.5,10,10,5,64,roots,False,False,False,tanh,True,0.03,1.2,uniform,0.5547356487910952
256,0.5,10,20,2,64,causal,False,True,True,relu,True,0.03,1.2,uniform,0.5167777409364469
256,0.5,10,20,2,64,causal,True,True,False,relu,True,0.03,0.5,normal,0.7272939414436776
256,0.5,10,20,5,16,causal,True,True,False,tanh,False,0.005,1.2,uniform,0.27058006185921496
256,0.5,10,20,5,16,head,True,True,True,gelu,True,0.005,1.2,uniform,0.11613798929686243
256,0.5,20,10,2,16,head,False,False,True,relu,False,0.005,0.5,uniform,0.08693111084393318
256,0.5,20,10,2,16,head,False,False,True,tanh,False,0.03,1.2,normal,0.11541365842134632
256,0.5,20,10,2,16,head,True,False,False,tanh,True,0.005,1.2,normal,0.09757976531294449
256,0.5,20,10,2,64,causal,False,False,True,gelu,True,0.03,1.2,uniform,0.2372664182920675
256,0.5,20,10,2,64,causal,False,True,False,gelu,True,0.03,1.2,uniform,0.22473866023685027
256,0.5,20,10,5,16,causal,False,False,True,gelu,True,0.005,0.5,uniform,0.25941871688014867
256,0.5,20,10,5,16,causal,False,True,True,relu,False,0.03,1.2,uniform,0.14539186005750487
256,0.5,20,10,5,64,causal,False,True,True,gelu,False,0.03,0.5,normal,0.24772226944230508
256,0.5,20,20,2,64,causal,False,True,True,tanh,False,0.005,0.5,normal,0.399602569366213
256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,0.37622719150582273
256,0.5,20,20,2,64,head,False,True,False,relu,True,0.005,1.2,normal,0.5799636981648759
256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal,0.4589867762092497
256,0.5,20,20,2,64,roots,False,False,True,tanh,True,0.03,0.5,normal,0.43896922225334933
256,0.5,20,20,5,16,roots,False,False,False,gelu,True,0.005,0.5,uniform,0.4901432491412732
256,0.5,20,20,5,16,roots,True,False,True,tanh,False,0.03,0.5,normal,0.604129449071875
256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,0.3848979548765158
256,0.5,20,20,5,64,roots,False,False,True,tanh,True,0.03,1.2,normal,0.7430632683217472
256,0.5,20,20,5,64,roots,False,True,False,relu,True,0.03,0.5,normal,0.8362150017941659
256,0.5,20,20,5,64,roots,True,True,False,gelu,False,0.03,1.2,uniform,0.3375635435442749
256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,0.201361388191659
256,0.7,10,10,2,64,head,False,True,True,gelu,True,0.005,1.2,uniform,0.43625953110489674
256,0.7,10,10,2,64,head,True,False,True,relu,False,0.005,1.2,normal,0.41358969623234965
256,0.7,10,10,2,64,roots,True,True,True,tanh,False,0.005,0.5,normal,0.312655707789876
