condition_id,repeat,dataset_idx,seed,seq_len,train_size,num_features,num_causes,num_layers,hidden_dim,generation_mode,y_is_effect,in_clique,sort_features,first_nonlinearity,per_layer_activation,noise_std,init_std,sampling,model,pmse
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,ridge,0.25481024384498596
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,lasso,0.2609105706214905
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,elastic_net,0.2606566846370697
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,knn,0.5387930870802338
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,gbrt,0.4549658243982424
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,hist_gbrt,0.3944947099608237
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,rf,0.48934267012680255
0,0,0,20260218,256,0.5,20,20,5,64,head,True,True,True,relu,True,0.03,0.5,uniform,extra_trees,0.42520984834247794
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,ridge,0.026315081864595413
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,lasso,0.027411924675107002
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,elastic_net,0.023739682510495186
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,knn,0.12018347453438248
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,gbrt,0.07461980250050708
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,hist_gbrt,0.06650470004926663
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,rf,0.10016270870887371
1,0,0,20261218,512,0.7,10,20,2,16,head,True,True,True,tanh,True,0.005,0.5,uniform,extra_trees,0.09239604107321217
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,ridge,0.38188278675079346
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,lasso,0.381124347448349
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,elastic_net,0.3813788890838623
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,knn,0.7378936255124185
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,gbrt,0.5562296094706342
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,hist_gbrt,0.5152663701151865
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,rf,0.5687248168125956
2,0,0,20262218,256,0.7,10,20,2,64,head,True,True,False,relu,True,0.005,1.2,uniform,extra_trees,0.5440974536645182
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,ridge,0.01653648167848587
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,lasso,0.006127945613116026
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,elastic_net,0.006092138588428497
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,knn,0.13282493760001282
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,gbrt,0.07960335342645627
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,hist_gbrt,0.11316054083887576
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,rf,0.08686320644282487
3,0,0,20263218,256,0.5,10,10,5,16,head,True,False,False,relu,False,0.005,0.5,uniform,extra_trees,0.0779438370300416
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,ridge,0.13540500402450562
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,lasso,0.13560791313648224
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,elastic_net,0.1356717348098755
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,knn,0.3333836854051547
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,gbrt,0.20335086799273505
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,hist_gbrt,0.17744487241111023
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,rf,0.24933374724264762
4,0,0,20264218,256,0.7,10,10,2,64,head,False,True,False,relu,True,0.005,0.5,uniform,extra_trees,0.24069328051076114
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,ridge,0.3361283838748932
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,lasso,0.33518749475479126
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,elastic_net,0.3353959918022156
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,knn,0.4716189571858171
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,gbrt,0.5343823720249643
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,hist_gbrt,0.47978734147737684
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,rf,0.5304495852941641
5,0,0,20265218,256,0.7,10,20,5,64,causal,True,True,True,gelu,False,0.005,0.5,normal,extra_trees,0.4892196711813134
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,ridge,0.18158526718616486
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,lasso,0.1844477653503418
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,elastic_net,0.1843021959066391
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,knn,0.6216606072646399
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,gbrt,0.4390750064029417
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,hist_gbrt,0.4399463823385301
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,rf,0.4835809123666427
6,0,0,20266218,256,0.5,20,20,2,64,causal,True,False,True,gelu,True,0.005,0.5,uniform,extra_trees,0.4752193952306816
7,0,0,20267218,256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal,ridge,0.17201527953147888
7,0,0,20267218,256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal,lasso,0.17106765508651733
7,0,0,20267218,256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal,elastic_net,0.17110389471054077
7,0,0,20267218,256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal,knn,0.7500340882633627
7,0,0,20267218,256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal,gbrt,0.6397291196948917
7,0,0,20267218,256,0.5,20,20,2,64,head,False,True,True,tanh,True,0.005,1.2,normal,hist_gbrt,0.5230951151443063
